,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
path.29,23863,25640.41868,27071.86213,29182.59224,30069.68077,30437.64023,30977.03919,31472.12078,32398.33762,34083.47715,34761.35919
path.30,23863,24446.05066,26045.42241,26299.40019,27190.32891,28048.5943,27616.33583,29476.41005,30605.04494,30679.11229,29860.91677
path.31,23863,24199.29269,24922.93597,25065.69306,26480.78206,28917.91138,30003.44578,30447.30597,28648.87457,29618.03293,29395.97827
path.32,23863,24908.26319,24905.59617,25794.60173,27604.42693,28248.21897,29962.47626,30476.69203,31151.92081,30059.32122,29585.86545
path.33,23863,24917.16967,24637.86344,26044.03778,27904.62127,28237.44525,29215.1365,31404.17138,32275.02806,32330.8471,32483.28393
path.34,23863,25195.82026,27033.71188,28703.94121,27848.19652,28097.36468,29897.43337,31462.17945,32273.56283,35416.08828,35242.36521
path.35,23863,24806.54995,25186.43465,25926.50038,26686.31016,27968.6633,27889.37031,29907.21588,31346.92427,33545.28966,33560.54308
path.36,23863,23950.51085,26331.33469,27519.43104,28486.83297,28591.81845,29621.32148,31677.41125,33189.14068,34281.24737,35465.11708
path.37,23863,24054.20257,23037.61451,23638.67495,25855.1598,27283.12922,27992.4202,29882.28077,33047.00836,35974.705,37642.22248
path.38,23863,25046.74626,26496.22594,26850.35905,27206.92762,28329.5411,31032.16443,33190.13636,34239.70875,34908.23775,37094.91262
path.39,23863,24698.13639,25422.24381,26032.34747,25501.14111,24396.27877,26245.55902,27681.14744,28707.093,29476.47503,29674.46002
path.40,23863,23820.12366,25460.59133,27053.57373,27806.91068,29843.03456,31205.51096,30947.3345,32362.13314,32183.3797,34410.11747
path.41,23863,24406.01915,23793.5493,25057.80882,24735.99997,25340.43694,26706.67685,27870.52807,28987.86183,30449.39007,30381.06384
path.42,23863,24639.16178,25354.34842,26034.5435,26817.10238,28270.65343,27837.80975,29119.32624,28876.38321,28836.027,29273.31302
path.43,23863,23223.76264,22755.5143,22439.79901,22764.20983,23687.00532,24629.96584,24132.89961,24269.0845,25633.32225,25967.75316
path.44,23863,25097.93651,26743.30534,27352.4137,27480.66679,27044.08707,28561.06292,28932.75917,29064.35753,30315.02182,30448.53161
path.45,23863,23603.86882,23740.34011,24664.54443,25140.14393,27692.73025,29692.62911,30078.21743,30447.84992,30443.59236,31549.12177
path.46,23863,25541.74093,26249.60869,27259.05385,28154.50668,27771.22494,27907.34965,30197.08265,29667.16428,29022.16085,28846.05039
path.47,23863,24617.44199,26595.26316,26776.8198,27940.85454,26647.8987,27537.04365,25953.61069,27407.86072,27311.93532,28167.16374
path.48,23863,23603.44003,24479.68441,24149.83343,26854.24624,28454.77555,28324.24256,29133.51123,30172.9419,30227.22415,30762.20968
path.49,23863,24487.40172,26338.67999,26959.13587,26338.17153,27417.2194,29017.70397,30542.90814,30905.93369,34321.577,36885.36236
path.50,23863,24409.16995,26299.78005,27834.32894,28311.8072,28040.31646,28424.03539,27829.62261,26975.82454,26700.39992,27251.56015
path.51,23863,25227.68576,26041.87409,26348.19638,27139.40904,28328.41993,30154.86912,31219.64576,32553.5297,32867.54449,31436.51322
path.52,23863,23919.06687,26099.32307,28097.14637,28842.2827,29404.1645,30467.9152,32894.40162,35156.43808,36065.50824,35986.25358
path.53,23863,24304.65898,25127.80883,25187.90793,26104.50528,27511.47655,27746.14755,27803.39945,27783.09951,26765.58556,27252.15118
path.54,23863,25148.26265,25338.41394,25727.10326,27409.46563,28624.66545,29537.93723,30698.01437,30560.60472,30133.34831,29831.13012
path.55,23863,22928.6604,24086.82537,25294.91642,27202.07748,26596.33726,26815.51398,28779.54322,28893.93701,31076.61946,32016.37866
path.56,23863,24628.31578,23577.93781,23739.89562,25366.26536,25447.89308,26721.44305,27381.26776,28364.44153,29337.35088,30009.97725
path.57,23863,26288.45127,28248.15142,29689.83216,29251.75929,28923.83801,30367.57269,31263.24469,33341.30778,35059.92483,34225.90298
path.58,23863,24534.5982,23684.67471,23942.1335,23285.59833,24428.10413,24342.2387,23203.87064,22771.22235,23573.52077,25698.09422
path.59,23863,23915.54213,23763.97217,25966.05492,27801.99739,29149.94607,29621.3046,31207.77503,31604.53046,34572.25391,34511.60781
path.60,23863,24783.05958,25561.4441,26362.34633,26183.70813,27622.40081,29003.66099,29786.82223,32035.67634,30368.75081,31795.10581
path.61,23863,24966.1305,24924.5594,26283.83792,26902.76916,26510.9703,27131.30768,28385.81631,28907.50405,30384.43262,30978.90812
path.62,23863,24159.95337,25343.94173,25780.33253,26068.05241,26097.31402,27718.42027,27688.43682,26280.56231,26159.72267,26505.98445
path.63,23863,24416.93243,25962.60515,26254.40751,26757.51199,28357.73753,29143.84071,30358.42054,30494.44537,30180.10439,32610.81575
path.64,23863,24693.09768,24884.26998,24981.987,24841.90157,26503.52638,28274.35677,28215.57011,28603.08068,30131.50746,29599.05792
path.65,23863,24728.73706,26659.23533,28256.05333,29241.11646,29493.29845,31846.52307,33418.49684,36058.53628,38188.69675,37442.22004
path.66,23863,24923.25188,26683.02908,27698.66938,28424.38562,30690.65777,33434.46625,33726.54773,35209.564,38041.28799,41095.22098
path.67,23863,25250.47817,27239.37043,29025.38363,29624.90396,28937.95531,29607.29861,30017.26191,32373.43747,33911.54114,36934.91056
path.68,23863,24898.09464,25398.1317,26112.11857,27118.87282,27296.92729,28539.18777,29800.61222,30705.06877,33973.90043,34633.76261
path.69,23863,24778.763,25898.78564,27266.96473,27841.56258,28844.21699,29896.64874,28003.326,27488.48388,27067.82948,28622.94615
path.70,23863,24836.79417,26163.08913,25885.07122,25822.15111,26294.21635,26626.10827,26961.99698,28016.96233,27055.9606,27636.699
path.71,23863,24337.22528,24342.86638,25214.01121,25541.40981,26127.66135,26423.30885,26904.9578,27607.01109,28484.6889,30534.34302
path.72,23863,23167.75253,22889.2947,23816.25796,23784.48226,23419.25256,24135.68844,24778.45526,25001.42343,26266.27482,27415.39823
path.73,23863,24106.76089,24666.08799,26190.84268,27082.22055,26812.33302,27938.70733,29621.88139,31233.55559,32897.50415,33735.21956
path.74,23863,24601.71621,25997.68375,27640.27018,30076.00694,32198.53692,32117.56625,34082.81763,34826.51353,35206.77234,33504.87418
path.75,23863,26623.26169,26482.64117,25711.9101,27032.9919,29010.63169,29161.99422,30108.72457,32198.8877,32557.38681,33755.76269
path.76,23863,24487.46028,25078.53804,26709.15991,26964.39618,26347.19505,26478.14755,26377.67785,27575.9886,25905.1146,25593.15022
path.77,23863,25472.45463,25838.41421,26378.01872,26213.84234,27290.31074,28524.16417,30297.90901,30470.77915,31837.02585,32499.29379
path.78,23863,25648.00052,24772.49765,26219.10327,26912.82556,27128.09203,28227.94158,28602.84073,29564.46109,31124.82778,33435.67742
path.79,23863,23748.43469,25303.00018,26378.61928,27552.09054,28080.98859,28081.3169,28688.03799,30359.1014,31181.57138,32216.47764
path.80,23863,23439.22693,24346.61842,26568.77605,26003.57598,26265.2783,27679.80583,27969.16449,28715.22682,29435.99557,30715.12778
path.81,23863,25872.4407,27459.13728,27148.51657,29118.07001,30752.46497,32949.16655,32411.54745,32097.67409,31415.95022,32588.36256
path.82,23863,23725.96063,24516.52884,25749.60321,26031.36239,28338.51602,29431.59833,29086.95515,30767.53542,29856.27534,30860.02909
path.83,23863,25029.54101,25319.3068,25617.37795,27021.17747,25592.08606,25769.45089,25508.55255,27400.4114,27833.84156,28440.33464
path.84,23863,21992.01364,23000.21185,22982.70286,23932.09836,25212.08516,24842.33647,25295.92449,26191.12801,27479.11999,28969.4806
path.85,23863,24639.21264,25118.38833,26406.33299,27211.7982,28821.83569,30762.57978,31826.05283,32193.02775,31051.21203,32291.67161
path.86,23863,24463.4494,26439.98084,28488.5905,29392.11637,29773.45552,30052.35991,30090.45947,30450.89952,30156.49503,31021.66418
path.87,23863,24283.72372,25635.74298,25101.1559,24426.6334,26225.24906,26612.03352,26673.91056,27973.99872,28373.96164,27723.16776
path.88,23863,24790.49192,24555.23147,25608.61537,24909.08809,24147.91101,24778.48714,26873.97477,25710.05284,27782.31857,27721.29079
path.89,23863,24012.18635,25903.92197,27107.06688,29053.24758,29536.41546,31761.60019,32706.55706,33132.83165,32821.24669,33094.58044
path.90,23863,24241.10891,24689.97362,25575.69538,29011.54851,30503.96399,30304.52324,29855.19426,30352.39995,32516.53178,33675.55914
path.91,23863,24801.88252,26704.16683,27025.34882,29874.72055,29952.34389,29818.68531,30264.05318,32915.13693,32914.90025,33757.52887
path.92,23863,24472.65183,25850.24404,26215.21898,24605.54724,25156.5104,26231.64787,28114.1415,28152.44888,30593.76975,30509.13306
path.93,23863,25641.8161,26116.3918,27134.8576,27417.59095,27665.63613,28481.17217,27872.84534,27999.2186,29549.35329,29967.82965
path.94,23863,24592.79769,25711.11093,28021.96389,28831.19032,29760.49263,31608.33182,33824.35674,34835.333,35049.75556,34451.86354
path.95,23863,25271.04161,27008.10982,28830.0175,30827.37655,31394.04342,33258.47529,33037.86834,31564.60368,33199.13285,34477.54073
path.96,23863,23756.89751,24642.40917,25374.76826,26436.99474,28974.57219,30070.68899,30547.72783,31893.57105,32327.44325,34441.73395
path.97,23863,25115.06567,26859.64055,28900.38198,27649.3926,28708.7047,30938.76863,32941.48338,33664.22545,34291.17985,36990.15565
path.98,23863,24515.79786,25190.44021,25215.44268,25189.12684,25285.84902,26198.10686,26718.30769,26550.92164,27559.31776,28250.89747
path.99,23863,23860.16617,23314.89378,24542.47688,24883.00135,24811.37569,24842.62898,25558.79933,28475.56756,28630.13708,29179.33562
path.100,23863,24824.95064,26088.16333,25037.87162,27156.13362,28850.92135,29758.10518,31078.67807,31671.39434,31609.83241,33649.27732
path.101,23863,25302.42607,26094.08543,27990.16993,28787.82211,28246.32224,29134.01372,29676.58407,31538.09065,32444.69241,34096.20302
path.102,23863,23754.10002,24850.26544,24183.30695,24995.55788,26886.68774,26732.09632,25815.00775,25498.98482,25948.87201,28864.98172
path.103,23863,23874.18191,23209.08371,23742.2626,24015.09143,23491.52891,23239.66253,23016.35465,24535.27002,25608.18516,25788.8249
path.104,23863,25911.40071,25841.47538,24875.84739,23185.85085,24038.2955,24394.8116,26608.5139,26998.07433,28679.54729,28585.9177
path.105,23863,24459.80832,25801.97483,25888.69951,26008.15807,26833.71829,28604.23583,29752.83188,31522.85614,31343.19809,30414.53784
path.106,23863,25174.63104,25425.45085,25424.04893,26358.83338,28680.6592,29907.14369,32023.7928,34305.03967,34060.69946,36344.95165
path.107,23863,24507.44938,26527.64026,26368.76566,27554.58315,29350.97049,31159.67515,33073.23771,33496.57427,33913.3364,37961.29607
path.108,23863,24680.39762,24883.9727,25704.82132,26611.5537,27884.44731,27692.99029,28747.52215,27812.51632,29709.63367,31991.46533
path.109,23863,23992.60633,24329.39534,26512.21081,26640.93178,29051.94673,30375.75004,31297.8584,31423.49277,32488.66997,34924.37558
path.110,23863,24375.303,23575.37463,23753.0186,22952.98845,22949.792,24355.32312,25259.17059,25695.66135,24847.88415,25033.71175
path.111,23863,25446.79703,26760.05404,26862.1176,27682.12682,28505.73258,28839.29508,29760.53023,30383.43483,30398.70701,30025.92838
path.112,23863,24284.31055,25521.77607,25564.48022,26600.10497,28715.73671,28834.34464,27417.37781,28085.25385,27884.52256,28931.91726
path.113,23863,23495.71869,23426.88219,22820.14586,22073.87561,22396.17779,24453.13213,25077.17545,26104.79804,29445.09954,31268.25077
path.114,23863,25252.1482,26449.82283,27612.21079,28283.48929,30756.51952,30065.92743,31244.34426,31408.98137,31853.13971,31888.06978
path.115,23863,26319.47753,25917.53982,25052.74534,25250.13492,25515.46915,27343.66153,27617.57836,27334.75274,28149.91911,29436.55579
path.116,23863,25065.55444,26002.87134,26125.0936,27839.7295,28423.08223,29621.64668,29281.65463,29338.17791,30126.54141,30680.34679
path.117,23863,25700.44481,26866.24662,28108.28968,30798.60743,30810.17156,32065.4674,33267.73575,32478.11395,32597.30976,34136.27222
path.118,23863,23355.84874,23723.10716,24135.7994,24626.93648,25685.67044,26400.21613,27375.75031,27013.04645,28543.66012,31361.92343
path.119,23863,24035.48616,23634.68778,25227.46296,27373.21625,26913.74044,26899.64372,26824.59076,26406.03187,27237.91916,26110.05719
path.120,23863,25065.43071,26189.35125,27202.6788,29049.67202,28950.53308,29774.03723,30436.02668,30031.82316,31057.43615,32478.86406
path.121,23863,24021.13622,25550.59525,25365.36993,24460.82762,25883.16962,25781.28738,26390.56814,27951.48267,28659.21797,28867.27061
path.122,23863,24766.69685,24276.037,24586.71355,24236.66496,24446.52991,24381.59468,26553.78184,24853.59405,25908.55146,26908.93828
path.123,23863,24847.89458,26641.63938,28229.53333,27280.10506,27013.1683,28140.3425,28596.47608,29152.94655,30323.88058,31091.95018
path.124,23863,23868.77849,25488.67196,24250.64531,24554.52899,25829.26792,25255.45244,25038.08221,26411.67722,27327.6781,26710.21209
path.125,23863,24309.47613,24543.67173,24211.7773,24446.40749,23897.02451,24159.87813,25226.11654,27244.86607,29883.15518,33334.41248
path.126,23863,24862.05065,25496.876,27254.52251,28489.80871,29694.68622,31132.97585,30340.37813,30210.30286,30217.92966,32371.82354
path.127,23863,24064.00222,23671.65644,24710.26691,25907.58383,26707.56059,26368.14585,27581.96793,29545.21345,30007.93736,32454.87173
path.128,23863,25749.7438,25359.92089,24703.20805,25350.36917,26362.90802,26835.69465,27749.16396,29462.24937,28581.68817,29928.61343
path.129,23863,24455.07921,24759.37455,25123.71666,25897.12778,27173.46072,29204.31176,31041.54985,31229.77864,30185.51085,33254.79557
path.130,23863,24786.57471,27835.10404,29688.52831,29210.38853,30678.68279,30772.04415,30151.74625,30493.64511,29656.89207,30463.07389
path.131,23863,24765.04445,26114.56877,27568.88282,28898.81746,27510.03444,26801.74991,28732.2721,29715.03587,31718.81445,33497.48901
path.132,23863,25287.93835,26732.18219,27845.06545,28904.60467,29085.71772,29220.28131,31115.50262,32840.82517,33473.7982,32728.40689
path.133,23863,25184.65455,25791.74517,26123.11926,26025.21925,25731.32893,25869.03923,27828.73026,27349.19172,29867.64598,30295.89164
path.134,23863,25517.24104,26892.16844,27756.74623,29224.01673,31106.64494,31547.87585,32860.93007,32902.97808,35709.19203,36100.24968
path.135,23863,24488.6204,25437.47911,26066.02939,27344.76637,27317.83422,27388.92673,28964.14402,30024.10852,32552.4674,31698.98857
path.136,23863,25072.94065,25572.26328,26953.50443,27427.55635,29378.00755,29730.8028,32269.86575,32089.71009,34090.74184,34400.42156
path.137,23863,24365.70192,25466.18124,25702.43979,26557.74295,28039.80402,28057.7948,27689.75323,28654.26998,30173.54614,30525.97748
path.138,23863,24139.65205,24730.0109,26370.28999,26900.08089,26725.4949,28015.63991,30364.52028,32839.45104,32710.30047,33406.59496
path.139,23863,24450.85417,26270.88155,25643.18413,26043.0044,29008.85859,28232.40334,27680.59352,28993.5441,28559.5701,29325.39925
path.140,23863,25822.24602,26354.89728,27081.30375,27225.19173,27941.92143,29676.92398,32914.98085,32570.44153,34998.07606,35632.64406
path.141,23863,24226.68139,25249.44554,24908.22314,27664.22023,27851.94784,28840.58231,29259.6474,31592.76316,34204.40553,35869.99787
path.142,23863,24291.69531,25935.67477,28131.93637,30351.91228,29622.60799,29172.37294,29931.84012,31260.25481,31519.11701,32133.89365
path.143,23863,25579.01176,26643.32887,29296.39585,31094.36533,32436.53678,32819.28658,30770.90458,29984.07506,29333.77379,31134.8438
path.144,23863,24459.47819,25461.32094,26647.5674,26097.32537,26207.84533,27233.14482,29377.4197,28650.35284,29328.07289,27139.30209
path.145,23863,24828.41102,24955.72873,26435.84131,26424.34203,26920.68179,27221.47998,28368.43378,27774.92032,28596.22271,30067.51249
path.146,23863,25117.66728,26134.72012,26793.88074,26981.87734,27341.41301,27575.57657,27250.67341,27520.57253,27691.45304,27620.23733
path.147,23863,25485.7473,27031.45694,28169.83346,28136.09348,27962.35667,28585.48617,29058.5786,29711.79935,29790.99388,31688.95675
path.148,23863,24280.36087,24379.58444,24834.12539,25279.51487,26476.06881,27040.27582,28159.00404,29092.48018,29041.38288,32090.92854
path.149,23863,24104.48843,24573.12376,25346.29696,25515.1536,25875.48117,27000.68602,27560.67638,29147.95497,29661.52041,29566.81248
path.150,23863,25628.48954,25514.58645,26703.46352,28598.68695,30358.49416,31097.89413,31317.59607,31670.47182,32463.49996,33950.93054
path.151,23863,23904.0239,24949.0189,25788.15311,26483.39951,29243.54543,29046.04125,30718.58259,31707.00524,31081.04967,32838.06221
path.152,23863,23738.46582,24186.58356,25536.85091,25585.77177,26385.85434,26999.85629,29155.79953,29763.74781,30484.66694,32538.67703
path.153,23863,24556.70303,25599.46686,25973.75144,25561.09521,26492.32303,28756.43631,27762.24978,27275.17744,27880.8088,28100.51852
path.154,23863,25149.86309,25387.24973,26428.89864,27049.20181,27824.01329,28646.78627,28425.79653,28850.33292,28447.75977,27658.27645
path.155,23863,24201.83431,23937.54473,24805.57014,25727.25716,24932.86941,27933.18803,27156.80204,26988.64845,27240.29095,28058.03083
path.156,23863,22822.97832,22131.45721,23510.35555,24387.2722,25335.60595,26263.44897,26762.01631,24916.85803,25624.10634,25481.57673
path.157,23863,23891.02591,24548.36904,25055.46221,26574.45046,27798.76315,27963.84015,29275.8896,30128.23079,31316.99861,33536.97464
path.158,23863,25666.43615,26618.92822,27752.10784,28592.94925,29374.98584,30129.95245,31085.98077,30722.31286,29541.42263,29302.50771
path.159,23863,24233.87975,25663.87354,27540.3735,28605.09346,29077.90938,29998.15164,31636.07921,31036.05487,32918.71867,35362.2902
path.160,23863,24105.40491,23998.86183,25267.12036,27466.36974,28639.96751,30285.04451,32369.02548,32154.24339,33646.39791,34923.32583
path.161,23863,24395.93603,23832.36577,23471.83412,23615.07337,23133.55883,23313.73837,25201.03676,26758.74163,28047.51706,28935.26289
path.162,23863,24147.99852,24070.58953,24391.90883,24012.91815,25353.61824,25425.66036,25272.41367,27367.55483,30127.81134,30696.36733
path.163,23863,25001.21883,25870.4276,26847.28177,25475.01252,25579.99322,26273.81217,27560.72896,29749.35735,30775.57355,31502.46933
path.164,23863,23032.53448,23539.87511,23954.06126,25601.32766,26296.25151,26651.72583,27603.9335,28583.23135,29177.45316,29686.36562
path.165,23863,23498.62117,22460.4438,23686.73871,26422.58942,27198.63576,28579.76537,28278.59135,30748.41972,30879.35231,30445.21625
path.166,23863,25018.61581,26459.94771,27276.89494,28991.57804,29386.2897,28845.73623,29526.91821,28817.30539,31117.90943,31310.46755
path.167,23863,24589.80509,27142.84056,28436.56231,29967.40542,31543.53716,31112.82583,31708.0408,32540.85804,33687.36026,36264.58435
path.168,23863,24362.70829,24877.25139,24717.61606,22466.88946,24051.91387,26456.38371,25946.60988,26236.02332,26570.10535,27203.47903
path.169,23863,24894.74497,25521.50415,25112.63609,25607.00793,25847.4723,26138.5352,27540.89589,26413.69122,26928.09074,27843.87075
path.170,23863,24756.41994,25632.03621,25927.77691,26108.66081,26806.08009,28388.8214,29369.6065,29703.97011,31847.25162,32555.75958
path.171,23863,23154.92271,22985.71863,24984.65914,25852.09958,27762.87067,29198.23919,28695.07881,28751.45979,30166.35506,30308.35733
path.172,23863,24487.27569,25652.10457,25724.47434,28066.67622,30856.3857,30953.22075,31056.45157,30904.4937,31251.4149,32683.67308
path.173,23863,24512.98489,24372.67597,25212.78583,27123.72973,27765.81396,28365.13006,29348.72742,29894.58521,29341.44514,30944.20717
path.174,23863,25763.26405,26426.01896,26501.55299,27733.11467,27826.76149,28815.97071,30314.16798,31024.03325,32846.19883,33770.15439
path.175,23863,26663.32441,26825.0038,26178.85771,25940.27692,25964.41336,26017.39105,28807.06923,26661.66008,28053.34049,26526.38334
path.176,23863,23348.60525,24016.53894,24210.37513,26589.91948,28694.48927,29204.12374,28817.98895,31270.6158,31816.27135,31909.36529
path.177,23863,24959.09756,26024.69312,26360.95437,28816.64531,29602.32659,32125.93404,33888.58628,33460.14807,35435.61785,38136.68575
path.178,23863,23609.57073,24346.60026,26220.45649,26474.22287,27827.95216,27992.31626,29044.33571,30002.51356,29673.51893,30175.14409
path.179,23863,25563.65107,26136.46187,25592.53304,24957.91246,26189.5086,26804.83928,28179.35234,28958.44443,28312.70463,28011.41892
path.180,23863,23576.77005,23700.65972,25059.03008,25997.6543,27314.71465,30213.5573,32615.90621,34113.09227,34519.64643,35338.03375
path.181,23863,23807.15309,24002.25047,24529.38751,23552.86526,24566.36476,24532.49615,25320.99242,25147.77667,24590.13774,25462.87802
path.182,23863,23480.68157,24565.76341,24633.45625,24699.68736,25607.65925,26337.37081,26959.68181,27600.65419,27923.98955,29577.41242
path.183,23863,24836.23942,26206.7979,26312.58775,27261.74632,26933.22239,26917.28782,27799.62585,27266.19841,26451.25158,28180
path.184,23863,25224.98673,26202.05515,26099.04565,27581.87759,27164.60767,28062.55832,29502.02568,29608.83224,29259.69228,30523.3276
path.185,23863,23833.79279,25468.81439,25022.96918,25810.84197,23965.0255,23007.5731,23379.23278,24427.33244,25665.81534,25750.4384
path.186,23863,24245.82793,26669.14078,28122.77353,28747.72785,30675.59645,31831.32352,31147.10388,32306.65329,33283.25985,34829.60668
path.187,23863,24880.21695,25091.40768,24182.56857,25914.38017,27135.15219,25701.44297,26325.89861,26624.71905,26659.399,27696.92513
path.188,23863,24770.50426,24063.46588,23902.6532,22701.11347,23034.54738,24002.35031,25531.05373,27231.4499,27189.12445,25569.98281
path.189,23863,24472.20987,24566.89776,23145.13351,24259.37895,24830.57734,25243.41813,24607.28194,25000.71189,24341.53247,24833.90817
path.190,23863,25734.74188,25767.25376,27247.44137,26841.16309,27639.92024,27348.00193,28475.12536,28985.49159,28012.72826,28329.29606
path.191,23863,25645.71994,26334.48707,28478.38192,28712.60453,27376.56992,28265.64967,28351.54612,29626.2025,31280.17673,32823.03245
path.192,23863,24741.36665,23761.85431,23384.86946,23674.93766,24110.4892,23922.7408,24615.0459,25229.22854,26547.68279,26426.89437
path.193,23863,25753.02832,26690.68907,26532.17848,28462.91712,28396.29296,29758.00121,30103.35857,29815.0246,30117.18116,30143.1007
path.194,23863,24696.58345,23766.57955,24058.88499,26058.19945,26683.59803,27688.89812,27434.5613,28279.70408,29490.56758,32013.68363
path.195,23863,24245.33182,24938.49675,26765.67677,29148.5198,30344.15591,30648.45316,30899.67694,30939.4343,31228.94782,32401.62074
path.196,23863,24295.0361,25182.95554,26878.43553,26618.84915,27342.64662,28496.6018,28779.51062,28948.54576,28179.96994,30070.81647
path.197,23863,24566.47654,25300.50784,25894.82584,26798.0567,29093.43343,29248.43113,29190.62979,31243.25145,32579.08275,33253.05044
path.198,23863,23336.09787,23489.76326,25316.55434,27016.12629,30015.02767,29792.87462,29399.73165,30416.95754,31210.65858,30107.85922
path.199,23863,24805.5216,25861.22326,27536.20416,28988.08403,30244.09597,32341.85289,32636.63117,34743.83836,37270.17292,40814.91995
path.200,23863,23976.53952,24425.14003,24924.17622,24727.71982,25659.23734,25911.86214,25933.54077,26919.58835,27025.06683,29277.03349
path.201,23863,23513.11093,25213.04633,25770.2531,28230.26562,28257.84873,29495.60069,31141.38082,33255.34795,35969.01804,38375.7412
path.202,23863,24285.46034,25007.97172,25386.48374,25501.82008,25074.22067,24753.75662,25282.5389,25244.41365,27441.53159,29851.05116
path.203,23863,25232.21924,26854.94465,28182.7106,29032.14503,30065.21398,32236.18682,34427.79381,37215.95281,36739.49441,35628.19709
path.204,23863,24935.8854,25718.64779,27132.48813,27534.43598,29470.14079,29955.10987,29948.10068,31532.57053,32387.78186,33498.23828
path.205,23863,23679.62276,23673.64847,24852.22383,26127.57557,26290.14519,26310.11922,26824.41471,27138.22345,28540.24288,29491.66948
path.206,23863,24813.66456,24307.22074,24227.86849,25559.0834,27458.74846,27450.35981,27962.07004,28830.44696,29243.58065,30627.544
